Unnamed: 0,cleaned_review,sentiment,confidence
0,i love this app it is so useful and easy to use,POSITIVE,0.9997392296791077
1,terrible experience the app crashes all the time,NEGATIVE,0.9997475743293762
2,decent app but needs improvement in the ui,NEGATIVE,0.9705963730812073
3,fantastic this app has changed my life,POSITIVE,0.999822199344635
4,the app is okay but it lacks many features,NEGATIVE,0.9985408782958984
5,worst app ever it is full of bugs,NEGATIVE,0.9998069405555725
6,excellent functionality and userfriendly design,POSITIVE,0.9996501207351685
7,not bad but there are better alternatives out there,NEGATIVE,0.9874413013458252
8,im very satisfied with this app highly recommended,POSITIVE,0.9995419979095459
9,the app is slow and unresponsive at times,NEGATIVE,0.9993662238121033
10,good app but it could use some updates,POSITIVE,0.9494515061378479
11,i had a bad experience the customer support is unhelpful,NEGATIVE,0.9997453093528748
12,amazing app very intuitive and efficient,POSITIVE,0.9998706579208374
13,its an average app nothing special,NEGATIVE,0.9978846907615662
14,ive been using this app for months and i love it,POSITIVE,0.9997844099998474
15,disappointed the app doesnt work as advertised,NEGATIVE,0.9997684359550476
16,pretty good app but theres room for improvement,NEGATIVE,0.9955371618270874
17,i wouldnt recommend this app to anyone,POSITIVE,0.7479650378227234
18,the app is great but it crashes occasionally,NEGATIVE,0.9968323111534119
19,very pleased with this app it meets all my needs,POSITIVE,0.9998418092727661
20,this app exceeded my expectations,POSITIVE,0.9957432150840759
21,the interface is cluttered and confusing,NEGATIVE,0.9997708201408386
22,great app but a bit overpriced,NEGATIVE,0.9979798197746277
23,very buggy needs a lot of improvements,NEGATIVE,0.999300479888916
24,the customer service was excellent,POSITIVE,0.9998224377632141
25,i found this app to be very intuitive,POSITIVE,0.9985536932945251
26,not worth the money i want a refund,NEGATIVE,0.9998001456260681
27,the best app in its category,POSITIVE,0.9997667670249939
28,the latest update broke many features,POSITIVE,0.9919766783714294
29,highly useful for my daily tasks,POSITIVE,0.9996899366378784
30,i encountered frequent crashes,NEGATIVE,0.9980825185775757
31,very satisfied with the performance,POSITIVE,0.9997076392173767
32,the design is sleek and modern,POSITIVE,0.999854564666748
33,the app is not compatible with my device,NEGATIVE,0.9997621178627014
34,i love the new features in the latest update,POSITIVE,0.999860405921936
35,the app drains my battery quickly,NEGATIVE,0.9989846348762512
36,userfriendly and efficient,POSITIVE,0.9994766116142273
37,too many ads make it unusable,NEGATIVE,0.9997649788856506
38,reliable and performs well,POSITIVE,0.9998611211776733
39,the app is okay but needs more features,NEGATIVE,0.9703300595283508
40,its good but i had higher expectations,POSITIVE,0.9986849427223206
41,ive had a smooth experience so far,POSITIVE,0.9954484105110168
42,not intuitive at all very complicated,NEGATIVE,0.9997193217277527
43,one of the best apps ive used,POSITIVE,0.9996600151062012
44,the app often freezes and crashes,NEGATIVE,0.999648928642273
45,helpful customer support,POSITIVE,0.9996914863586426
46,the app doesnt have enough tutorials,NEGATIVE,0.9994033575057983
47,fantastic performance and reliability,POSITIVE,0.9998691082000732
48,i wouldnt use any other app,NEGATIVE,0.9968035221099854
49,the app could use a dark mode,NEGATIVE,0.9981581568717957
